"_language";"English"
"talk/vincenzo/smell_reply";"Change is in the air. We are the 99%!";"crwdns73809:0crwdne73809:0"
"tutorial/catalog/step1";"To plant something we need to invest from our stock.";"crwdns73810:0crwdne73810:0"
"tutorial/catalog/step2";"Here is our stock of vegetables. In this game, a vegetable is just a vegetable.";"crwdns73811:0crwdne73811:0"
"tutorial/catalog/step3";"And when it grows, it's just a vegetable. How many pieces and how much time it takes.";"crwdns73812:0crwdne73812:0"
"tutorial/catalog/step4";"Clear? Tap to select crop and confirm with button.";"crwdns73813:0crwdne73813:0"
"tutorial/commodity/info";"Collect harvested vegetable. There are a few other basic resources in this game: grain, fruit, eggs, etc.";"crwdns73814:0crwdne73814:0"
"tutorial/cooking/step1";"If characters run out of energy, they will do nothing until the evening. Energy is refilled by food and sleep. It's time to cook something...";"crwdns73815:0crwdne73815:0"
"tutorial/cooking/step2";"Each recipe requires various ingredients. If you are missing a resource, the number turns red.";"crwdns73816:0crwdne73816:0"
"tutorial/cooking/step3";"You can see the stock level for required resources here.";"crwdns73817:0crwdne73817:0"
"tutorial/cooking/step4";"Energy gained by eating this food.";"crwdns73818:0crwdne73818:0"
"tutorial/cooking/step5";"Happiness points gained for each portion eaten.";"crwdns73819:0crwdne73819:0"
"tutorial/cooking/step6";"Tap to select the recipe. This is an easy food; it will be done in a minute...";"crwdns73820:0crwdne73820:0"
"tutorial/deadtree/info";"Trees die with age or when we don't prune them.";"crwdns73821:0crwdne73821:0"
"tutorial/dialog";"Build another patch by dragging icon and dropping over an empty tile.";"crwdns73822:0crwdne73822:0"
"tutorial/eating/info";"Time to eat! Each character will tell you his favourite meal (+1 happiness bonus) when you let him talk by tapping.";"crwdns73823:0crwdne73823:0"
"tutorial/feeding/info";"Animals are hungry and need to eat. They die after days of starving!";"crwdns73824:0crwdne73824:0"
"tutorial/ffwd/info";"You can speed up time by holding the >> button.";"crwdns73825:0crwdne73825:0"
"tutorial/harvest/info";"Harvest moon! Tell greybeard to harvest yields by tapping on the tile. Tap again to cancel this command.";"crwdns73826:0crwdne73826:0"
"tutorial/house/step1";"In this game, you gradually restore an abandoned village. There are houses and other objects which need repair.";"crwdns73827:0crwdne73827:0"
"tutorial/house/step2";"Order someone to repair the house.";"crwdns73828:0crwdne73828:0"
"tutorial/inventory/step1";"Keep an eye on what you have on stock.";"crwdns73829:0crwdne73829:0"
"tutorial/inventory/step2";"You can manage resources here. Let's sell some vegetables for coins.";"crwdns73830:0crwdne73830:0"
"tutorial/inventory/step3";"Select quantity to be sold. Notice that per unit prices increase with quantity.";"crwdns73831:0crwdne73831:0"
"tutorial/inventory/step4";"You can also buy resources and coins for rubies.";"crwdns73832:0crwdne73832:0"
"tutorial/newcomer/step1";"Happiness points gained for good food accumulate. You can see how many points are needed for next level.";"crwdns73833:0crwdne73833:0"
"tutorial/newcomer/step2";"The more people the more fun. Let's speed things up with rubies.";"crwdns73834:0crwdne73834:0"
"tutorial/night/info";"The first day is about to end. Folks are going to sleep. The game will be saved and the next day starts with a sunrise.";"crwdns73835:0crwdne73835:0"
"tutorial/plan_tool/step1";"We are going to build a new patch. Go to planning mode.";"crwdns73836:0crwdne73836:0"
"tutorial/plan_tool/step2";"Drag the icon with the vegetable patch and drop it over an empty tile.";"crwdns73837:0crwdne73837:0"
"tutorial/plan_tool/step3";"You can also remove built objects in this mode.";"crwdns73838:0crwdne73838:0"
"win/catalog/buy/disabled";"You can't buy this!";"crwdns73839:0crwdne73839:0"
"win/catalog/buy/disabled/commodity";"Not enough commodities";"crwdns73840:0crwdne73840:0"
"win/catalog/buy/disabled/money";"You can't afford it.";"crwdns73841:0crwdne73841:0"
"win/catalog/category/TC_COOP";"Poultry";"crwdns73842:0crwdne73842:0"
"win/catalog/category/TC_CORRAL";"Livestock";"crwdns73843:0crwdne73843:0"
"win/catalog/category/TC_CORRAL_COW";"Cows";"crwdns73844:0crwdne73844:0"
"win/catalog/category/TC_CORRAL_HORSE";"Horses";"crwdns73845:0crwdne73845:0"
"win/catalog/category/TC_CORRAL_SHEEP";"Sheep";"crwdns73846:0crwdne73846:0"
"win/catalog/category/TC_FIELD";"Grain";"crwdns73847:0crwdne73847:0"
"win/catalog/category/TC_ORCHARD";"Orchard trees";"crwdns73848:0crwdne73848:0"
"win/catalog/category/TC_PARK";"Parks";"crwdns73849:0crwdne73849:0"
"win/catalog/category/TC_PATCH";"Vegetables";"crwdns73850:0crwdne73850:0"
"win/catalog/category/TC_RECIPE";"Cookbook";"crwdns73851:0crwdne73851:0"
"win/catalog/clear/disabled_reason";"There are workers on the place.";"crwdns73852:0crwdne73852:0"
"win/cooking/cook";"Cook meal";"crwdns73853:0crwdne73853:0"
"win/cooking/cooking";"Please wait, the meal is cooking...";"crwdns73854:0crwdne73854:0"
"win/cooking/done";"The next food preparation will be allowed only after this food is eaten.";"crwdns73855:0crwdne73855:0"
"win/details/days";"days";"crwdns73856:0crwdne73856:0"
"win/details/sickdays";"days left:";"crwdns73857:0crwdne73857:0"
"win/details/status/growing";"Growing crops";"crwdns73858:0crwdne73858:0"
"win/details/status/manure";"The tree has to be fertilised.";"crwdns73859:0crwdne73859:0"
"win/details/status/production/cow";"Milk";"crwdns73860:0crwdne73860:0"
"win/details/status/production/egg";"Laying eggs";"crwdns73861:0crwdne73861:0"
"win/details/status/production/fishpond";"Growing fish";"crwdns73862:0crwdne73862:0"
"win/details/status/production/grow";"Raising animal";"crwdns73863:0crwdne73863:0"
"win/details/status/production/horse";"Competition";"crwdns73864:0crwdne73864:0"
"win/details/status/production/meat";"Producing meat";"crwdns73865:0crwdne73865:0"
"win/details/status/production/sheep";"Wool growing";"crwdns73866:0crwdne73866:0"
"win/details/status/sickAnimal";"Animal is sick";"crwdns73867:0crwdne73867:0"
"win/details/status/starving";"Animal is starving";"crwdns73868:0crwdne73868:0"
"win/details/yields";"Yields:";"crwdns73869:0crwdne73869:0"
"win/fslock/caption";"This area is locked";"crwdns73870:0crwdne73870:0"
"win/fslock/unlock";"Repair the house to unlock this area.";"crwdns73871:0crwdne73871:0"
"win/happinessup/caption";"Happiness, level $NUM";"crwdns73872:0$NUMcrwdne73872:0"
"win/happinessup/text";"Congratulations! The people in your village are so happy that the overall happiness raised to level $VAL.";"crwdns73873:0$VALcrwdne73873:0"
"win/houseupg";"Abandoned house";"crwdns73874:0crwdne73874:0"
"win/houseupg/caption";"This house is ill-conditioned. You will need to repair the house to make it habitable again.";"crwdns73875:0crwdne73875:0"
"win/houseupg/price";"Repair price";"crwdns73876:0crwdne73876:0"
"win/ingamemenu/paused";"Paused";"crwdns73877:0crwdne73877:0"
"win/newcomer/speedup";"Speed up with some rubies?";"crwdns73878:0crwdne73878:0"
"win/newcomer/text";"A new character will arrive in the village when happiness reaches level $NUM.";"crwdns73879:0$NUMcrwdne73879:0"
"win/options/antialiasing";"Antialiasing";"crwdns73880:0crwdne73880:0"
"win/options/fullscreen";"Fullscreen";"crwdns73881:0crwdne73881:0"
"win/options/language";"Language";"crwdns73882:0crwdne73882:0"
"win/options/resolution";"Resolution";"crwdns73883:0crwdne73883:0"
"win/options/restart";"Changes will apply after the game is restarted.";"crwdns73884:0crwdne73884:0"
"win/options/save";"Save";"crwdns73885:0crwdne73885:0"
"win/options/scrollspeed";"Scrolling speed";"crwdns73886:0crwdne73886:0"
"win/options/settings";"Options";"crwdns73887:0crwdne73887:0"
"win/options/soundvolume";"Sound volume";"crwdns73888:0crwdne73888:0"
"win/options/tutorials";"Tutorials";"crwdns73889:0crwdne73889:0"
"win/quests/completed/caption";"Quest completed";"crwdns73890:0crwdne73890:0"
"win/quests/completed/text";"Good job with this quest. Here's your reward.";"crwdns73891:0crwdne73891:0"
"win/quests/new";"New quests!";"crwdns73892:0crwdne73892:0"
"win/rankup/text";"Congratulations! You've gained enough experience points for level $VAL. New possibilities are open for you...";"crwdns73893:0$VALcrwdne73893:0"
"win/store/available";"Quantity available:";"crwdns73894:0crwdne73894:0"
"win/store/caption/buy";"Buy:";"crwdns73895:0crwdne73895:0"
"win/store/caption/sell";"Sell";"crwdns73896:0crwdne73896:0"
"win/store/caption/unlock";"Unlock the full game";"crwdns73897:0crwdne73897:0"
"win/store/restore";"Restore purchases";"crwdns73898:0crwdne73898:0"
"win/store/skip";"Speed the dawn";"crwdns73899:0crwdne73899:0"
"win/store/slots";"Buy day-savers!";"crwdns73900:0crwdne73900:0"
"win/store/slots-product1";"Expand the panel with two day-savers so you can refill 3 days and play in a row.|Bonus: removes advertising.";"crwdns73901:0crwdne73901:0"
"win/store/slots-product2";"Expand the panel with two day-savers so you can refill 5 days and play in a row.";"crwdns73902:0crwdne73902:0"
